Title,URL  (nintendo.com or nintendo.co.uk),asset_flip,framerate
turbo skiddy racing,https://www.nintendo.com/games/detail/turbo-skiddy-racing-switch/,x,
urban street fighting,https://www.nintendo.com/games/detail/urban-street-fighting-switch/,x,
us navy sea conflict,https://www.nintendo.com/games/detail/us-navy-sea-conflict-switch/,x,
wacky run,https://www.nintendo.com/games/detail/wacky-run-switch/,x,
wood block escape puzzles,https://www.nintendo.com/games/detail/wood-block-escape-puzzles-switch/,x,
wood block escape puzzles 2,https://www.nintendo.com/games/detail/wood-block-escape-puzzles-2-switch/,x,
wood block escape puzzles 3,https://www.nintendo.com/games/detail/wood-block-escape-puzzles-3-switch/,x,
word crush hidden,https://www.nintendo.com/games/detail/word-crush-hidden-switch/,x,
zodiac tri peaks solitaire,https://www.nintendo.com/games/detail/zodiac-tri-peaks-solitaire-switch/,x,
zombie apocalypse,https://www.nintendo.com/games/detail/zombie-apocalypse-switch/,x,
zombie raid,https://www.nintendo.com/games/detail/zombie-raid-switch/,x,
